curpcliente,nombrecliente,paternocliente,maternocliente,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
LRKK699292XEJNBC33,Othello,Luxen,Weaving,1974-11-30,Tabasco,San Melchor Betaza,San Melchor Betaza,Sommers,87,66153
HGKJ626164AYKHDR35,Merill,Tambling,Gonthard,1974-03-31,Durango,Amatlan de los Reyes,Amatlan de los Reyes,Hintze,53560,78098
BPCY885834MRUVYW79,Sheffield,Pomphrett,Ellph,1993-06-05,Oaxaca,Hueyapan de Ocampo,Hueyapan de Ocampo,Clove,61108,38454
BDGX011954FDSWJS21,Nicholle,Charteris,Hutchinges,1993-08-20,Oaxaca,Santa Cruz Tayata,Santa Cruz Tayata,Banding,2577,26515
TQVS095527ZKOIPK51,Blake,Mawditt,Villalta,1995-06-08,Aguascalientes,San Jacinto Amilpas,San Jacinto Amilpas,Swallow,71903,08109
IZTR652479USGFWJ31,Adrian,Rowesby,Fattori,1986-12-23,Ciudad de México,Ocampo,Ocampo,Kensington,8552,27334
TTQX392209USPWIL68,Alastair,McGiffin,Dickons,1969-05-27,Yucatan,Huejucar,Huejucar,Manufacturers,90,69711
PUFB975286KLDVQS32,Tabb,Drysdale,Heeley,2001-07-28,Chiapas,Jesus Maria,Jesus Maria,Harper,244,87479
XZBW952748VHWEBJ76,Alisander,Burchess,Sarfas,1987-10-02,Baja California Sur,Fresnillo de Trujano,Fresnillo de Trujano,Armistice,655,11240
RUBW756306MJBPMO55,Gerri,Conningham,Douch,1990-12-22,Coahuila de Zaragoza,Las Minas,Las Minas,Sullivan,26229,78292
OEHO409909TLYZFY49,Joana,Tonna,Picken,1996-08-16,Chihuahua,Santa Lucia Ocotlan,Santa Lucia Ocotlan,Gerald,4470,45293
PCZD527086QOKVEP25,Esma,Ferrieroi,Klimas,1968-11-10,Coahuila de Zaragoza,Santa Cruz,Santa Cruz,Crownhardt,10,73712
BCTQ239836WDUMKJ53,Margaux,McAmish,Alleburton,1965-04-05,Queretaro,Sabinas Hidalgo,Ciudad Sabinas Hidalgo,Ridge Oak,54,12069
INYP781592XIPQAB22,Joan,Garthshore,Edgehill,1977-11-22,Tabasco,Yecuatla,Yecuatla,Buell,2667,70448
DJWK105173BTYIOT31,Merwin,Probat,Spare,2005-01-05,Quintana Roo,Escuinapa,Escuinapa de Hidalgo,Lotheville,87526,49845
DNGM242657CMWVMH79,Nydia,Boik,Ocklin,1969-12-20,Tabasco,Coatzacoalcos,Coatzacoalcos,Golf View,2,74862
NORE114233FAUWJS01,Maury,Labern,Capper,1995-02-17,Morelos,Santa Lucia Monteverde,Santa Lucia Monteverde,Lindbergh,4,95158
RUYS165189ZKIHDE22,Dennis,Griffiths,Kamenar,1988-09-10,Colima,Zentla,Colonia Manuel Gonzalez,Mesta,7466,28969
UADK426446XRHDSR99,Monro,Harkness,Struan,1978-04-10,Coahuila de Zaragoza,Atlamajalcingo del Monte,Atlamajalcingo del Monte,Shasta,7,27730
KCYD320147HXRTXA56,Farly,Acres,O'Heyne,1989-03-12,Tlaxcala,Chinantla,Chinantla,Meadow Ridge,92161,53817
TVRB735632XLOOJA23,Farleigh,Bresnahan,Witchard,1997-08-10,Morelos,Cozumel,Cozumel,Texas,2700,44344
WGVV743872XDIZFP21,Maddy,Argontt,Scriviner,1975-08-01,Quintana Roo,Calpulalpan,Calpulalpan,Main,67107,84221
EHYE188369OLAOPO14,Jeniece,Padmore,Ruddle,1989-12-27,Sonora,Contla de Juan Cuamatzi,Contla,Old Gate,09924,69135
BWQQ013155IGNWGU18,Claudie,Linne,Lerway,1983-08-02,Sinaloa,La Antigua,Jose Cardel,Kings,4,34014
EGEV415223LFIFGB06,Elva,Walesa,Motherwell,1982-09-16,Sonora,Temax,Temax,Old Gate,13,70515
TEAU804979WLOWTV77,Tierney,Morey,Crumly,1965-09-04,Aguascalientes,Amatitlan,Amatitlan,Ridgeview,95169,05577
SLTW920064EKUYRI83,Merridie,Sindall,Cordeau],1965-03-26,Veracruz de Ignacio de la Llave,Bokoba,Bokoba,Cardinal,0,01472
SRMJ179646GHRXLG33,Verne,Fyfe,Infantino,1975-05-12,San Luis Potosi,Leonardo Bravo,Chichihualco,Brown,53,48364
ZTZI304338SEGJDT09,Lucius,Anshell,Charle,1979-01-08,Tabasco,Santo Domingo Chihuitan,Santo Domingo Chihuitan,Montana,5,51055
CGJX849534MHTEHH40,Arleen,Croxall,Dallison,1982-08-20,Coahuila de Zaragoza,San Lucas,San Lucas,Springs,52778,61131
OZJK327310JMSXDH34,Jannel,Geekin,Cleynman,1994-01-20,Baja California Sur,San Jeronimo Coatlan,San Jeronimo Coatlan,Cardinal,8470,73665
GCAU051205FAFGJR13,Brent,Pirazzi,Crean,2000-06-24,Yucatan,El Tule,El Tule,Grim,56,62596
ZUCT188294ZSBLKM36,Franklin,Torre,Justis,1972-11-02,Baja California,Calcahualco,Calcahualco,Melrose,359,37133
YSAV312367RZUIQM54,Crystie,Burr,Roycroft,2002-07-02,Puebla,Coicoyan de las Flores,Coicoyan de las Flores,Burrows,61,86036
VHBS237457UHKNEQ07,Anni,Drury,Dungey,1993-10-26,Oaxaca,Ixtlahuaca,Ixtlahuaca de Rayon,Trailsway,295,86362
UKKM520439UZPUFG10,Giff,Durak,Philpotts,1970-03-17,Nayarit,Tepehuacan de Guerrero,Tepehuacan de Guerrero,Carey,89,34919
PWSN182355ASCDGU14,Cornelius,Bagott,Ginni,2002-06-12,Chihuahua,Huetamo,Huetamo de Nuñez,Johnson,9,06338
NHVV735923KWVSSZ90,Vlad,Lies,Huckabe,2000-05-20,Tabasco,Cuaxomulco,Cuaxomulco,Heath,83,92891
BGAU237881JTWYSM67,David,Tubbs,Fawley,1978-08-11,Ciudad de México,Tapalapa,Tapalapa,Pennsylvania,7,70321
PHXT628809RGAFOM43,Manuel,Blum,Shekle,1993-08-05,Zacatecas,Toliman,Toliman,Little Fleur,22220,37763
NFPY515540LDKPYH75,Nicolai,Mollitt,Basire,1967-05-14,Baja California Sur,Nautla,Nautla,Menomonie,3136,24764
KHCG125514SMHSQM92,Emalee,Ebanks,McNirlan,1976-06-25,Zacatecas,Doctor Gonzalez,Doctor Gonzalez,Harper,2471,21696
OJLG668471UKKJZL08,Ginni,Bernardino,Wilne,1967-04-15,Campeche,Mineral de la Reforma,Pachuquilla,Pine View,48,08018
VYOF569010KXZBGF13,Decca,Stimson,Welldrake,2005-01-01,Guanajuato,Tuxpan,Tuxpan,Shopko,150,05875
YVCV412430YDTCNB25,Leonard,Amorine,Oulet,1970-12-24,Quintana Roo,Chilon,Chilon,Morning,45647,10699
BFJH734298XAHWHK17,Kingsly,Becks,St Pierre,1970-04-21,Aguascalientes,Calpan,San Andres Calpan,Jenifer,08,41721
REWD524176SXZZKE04,Levy,Enrietto,Bouskill,1973-05-06,Tamaulipas,Xicohtzinco,Xicohtzinco,Eastlawn,88295,39061
FDRF441541WTTVEK43,Joell,Quadrio,De Carteret,1967-06-24,Guerrero,San Pedro Tlaquepaque,Tlaquepaque,Dunning,49,47845
MHBE947789RPUPRY26,Woodrow,Venable,Tomasik,1997-06-29,Morelos,San Mateo Yucutindoo,San Mateo Yucutindoo,Sutherland,77,55366
VZLM914399UZIFFI95,Linell,Coils,Staddom,1979-03-16,Ciudad de México,San Andres Paxtlan,San Andres Paxtlan,Alpine,7380,84151
DHOR523332YSGJUU13,Gordy,Bedbrough,Runchman,1970-06-21,Ciudad de México,Santa Catarina Quiane,Santa Catarina Quiane,Talmadge,38392,18917
CBXH670678AFZPZG71,Nicky,Fisbburne,Ingraham,1977-11-20,Jalisco,Esperanza,Esperanza,5th,53,95229
ZUNC717713ESINIH58,Bronny,Hulance,Lillee,1970-03-25,Campeche,Atizapan,Santa Cruz Atizapan,Talmadge,2,51471
ALTB549323AVKBZN66,Colin,Wane,Lerer,1968-02-26,Nuevo Leon,Tepalcingo,Tepalcingo,Pierstorff,8786,99680
RPPD682358RSRLGQ03,Dorey,Arendt,Attrie,1986-02-14,Zacatecas,Santo Domingo Tomaltepec,Santo Domingo Tomaltepec,Pankratz,9,75624
OQKJ723321OWOLTP62,Adriane,Raphael,Tale,1982-08-28,Chiapas,Susticacan,Susticacan,Linden,3,16717
GNGC981556NJCMVK53,Arni,Willoughway,Kemish,1996-10-04,Sinaloa,Opodepe,Opodepe,Clarendon,3657,01019
UDIG356374NGEDXW46,Vincent,Broome,Falck,1970-01-05,Oaxaca,Santa Maria Sola,Santa Maria Sola,Elmside,64,55797
DQZE128104NCIFAD08,Deina,Powlesland,Tawn,1978-03-15,Nayarit,Tequisquiapan,Tequisquiapan,Melvin,8,63347
SQYR879751YHCAAE00,Byrle,Durtnel,Di Biagio,1969-06-30,Queretaro,Santa Maria Teopoxco,Santa Maria Teopoxco,Daystar,3,94980
OWLD385832DRFBKO03,Candice,Popeley,Salterne,1981-06-30,Durango,Santa Cruz Mixtepec,Santa Cruz Mixtepec,Evergreen,6955,90315
HMOL751810CKQTWF15,Cordelia,Ballham,Jannasch,1986-03-31,Durango,San Martin Huamelulpam,San Martin Huamelulpam,Tennyson,8899,04606
KODD547112ZFCBOZ27,Violet,Braundt,Fishleigh,1971-02-16,Guanajuato,Felipe Carrillo Puerto,Felipe Carrillo Puerto,Bluestem,77999,40120
KHVQ664324HSNPSO03,Silvia,Swett,Rauprich,1990-06-13,Jalisco,Santo Domingo Zanatepec,Santo Domingo Zanatepec,Ridge Oak,37702,78692
LTPS048380LMOJRO34,Buddie,Gilsthorpe,De Banke,1984-11-10,Chiapas,Tapachula,Tapachula de Cordova y Ordoñez,Reinke,200,78775
NQXI065030VQIDYE92,Marion,Stonham,Hodge,1988-10-20,Guerrero,Tlalmanalco,Tlalmanalco de Velazquez,Heath,4497,90347
RLTV201751KVMIMT42,Phoebe,Walbrook,Sighard,1987-05-16,Hidalgo,Ciudad del Maiz,Ciudad del Maiz,Hovde,73,88231
AABT715391KLLBNB10,Homer,Castleton,Strowlger,1988-09-27,Tamaulipas,Cuautempan,San Esteban Cuautempan,Nova,3,78196
VDKH183974HEVXUS90,Harriet,Greiser,Sunshine,1994-05-25,Oaxaca,Ignacio Zaragoza,Ignacio Zaragoza,Doe Crossing,04737,53333
RMON662261ZSCSOF95,Laurent,Conyers,Kibby,1972-06-25,Veracruz de Ignacio de la Llave,Zongolica,Zongolica,Lakewood,4083,48449
IQUH419955PLGBMQ46,Bret,Yateman,Looks,2001-02-13,San Luis Potosi,Colon,Colon,Tomscot,849,21624
ABJN603509TJUMDS95,Leonore,Jilliss,Getsham,2003-04-14,Ciudad de México,San Miguel Peras,San Miguel Peras,Ridgeway,5520,25210
EDWW196096RTJVGL68,Joli,Shipcott,Loker,1996-07-08,Nuevo Leon,Sotuta,Sotuta,Lerdahl,53,16486
TBSC864946PKLOTP00,Adelaida,Lochrie,Harwick,1968-02-12,Guerrero,Tetepango,Tetepango,Pine View,97,38513
RKIK150697VYEASD89,Arvin,Dadds,Pepperell,1978-05-28,Tabasco,La Trinitaria,La Trinitaria,Ridgeway,39530,78432
MQVG015409QEMPUR62,Nonah,Eckery,Mowlam,1982-09-10,Sonora,Larrainzar,Larrainzar,Clemons,80,32543
LZNR778284XSAKJS35,Noelyn,Simion,Southard,1972-09-07,Sinaloa,Pichucalco,Pichucalco,3rd,18,22748
YWWM475548NSQNFD77,Walker,Kanwell,Dummer,1967-07-13,Durango,San Ignacio Cerro Gordo,San Ignacio Cerro Gordo,Crest Line,4,80808
DJPN333406JXNTJC60,Orsola,Kulis,Mumberson,1970-04-12,Hidalgo,Tierra Nueva,Tierra Nueva,Moose,788,90222
YARW841545KDDDAR95,Bastien,Eilles,Brocklebank,1978-07-05,Michoacán,San Francisco Cajonos,San Francisco Cajonos,Butternut,39547,52616
JLWF874431ZCGKEB29,Ferdinande,Cambling,Trunchion,1979-03-20,Campeche,La Barca,La Barca,Haas,11502,85686
YMQD950376RWFKHX02,Kimbell,Marklow,Edlestone,1997-01-12,Morelos,Mitontic,Mitontic,Reinke,4500,79867
JMFT780170JEDGBY23,Tito,Cochrane,Hatliffe,1975-07-08,México,San Pedro del Gallo,San Pedro del Gallo,Algoma,9,42493
KMUP353490EKLWBO69,Devy,Ivashchenko,Ferrarese,1979-07-23,Campeche,Tlaxco,Tlaxco,Pleasure,4,30934
EUTK478160QNWOPP10,Sydney,Westman,Chaudret,1976-08-05,Campeche,General Zuazua,General Zuazua,Arizona,40885,79103
CBDJ730366MVNAZR70,Rab,Rannald,Ticic,1985-12-12,Queretaro,Palmillas,Palmillas,Brickson Park,193,33941
HGXB684932ENINOK63,Devlen,Antoniak,MacAlester,1983-03-08,Oaxaca,Armeria,Ciudad de Armeria,Starling,5244,45751
HBPM060813CTWWOB02,Willy,McSkin,D'eye,1980-10-22,Coahuila de Zaragoza,Mixtla de Altamirano,Mixtla de Altamirano,Hudson,5,52865
UMWC552809OLBRYW38,Alex,Kirsch,Tyre,1972-11-11,Durango,Hualahuises,Hualahuises,Westerfield,04,33997
IORH176823KYIDNM94,Brandea,Hansberry,Pancast,1991-04-05,Baja California,Santo Domingo Tehuantepec,Santo Domingo Tehuantepec,Fieldstone,82,78039
OHLD069043VGPLTH20,Eugenio,Gomersal,L'Episcopi,1991-02-24,Quintana Roo,Cuayuca de Andrade,San Pedro Cuayuca,Carberry,17578,82915
YLVQ964044KOTCKG25,Malanie,Stuckes,Castellucci,1977-10-25,San Luis Potosi,Baca,Baca,Loftsgordon,05,38537
CZFJ159384ERTHYN78,Waring,Rames,Bencher,1988-10-16,Campeche,Amealco de Bonfil,Amealco de Bonfil,Straubel,1967,19599
DPUM750775JFVDIE64,Reynold,Peat,Drain,1984-06-05,Chihuahua,Chacaltianguis,Chacaltianguis,Emmet,6242,79717
LSJB772970FUEZFV56,Bren,Di Biasi,Willder,1999-01-06,Guanajuato,General Teran,Ciudad General Teran,7th,8763,58697
DKNM122514YDVEUI68,Elston,Ghilks,Deakins,1987-10-16,Quintana Roo,Tlacolula de Matamoros,Tlacolula de Matamoros,Mockingbird,132,79967
ZWUU493699VXBHEL74,Rolf,Chellingworth,McClancy,1972-12-05,Baja California Sur,Santa Cruz Nundaco,Santa Cruz Nundaco,Westend,06950,33810
FECI164529BFRQHH82,James,Gradly,Jefford,2003-07-04,Morelos,Asientos,Asientos,Sundown,360,20002
TYMG332137KVMWUQ40,Paul,Gatlin,McDermid,2003-12-12,Jalisco,Villa Hidalgo,Villa Hidalgo,Sutherland,1,00210
OMET387290XSBXVN18,Diarmid,Mertel,Rocca,1986-04-25,Coahuila de Zaragoza,Aldama,Aldama,Dorton,146,41600
WBCX774009PILEWT71,Jessey,Cann,Gunther,1984-11-08,Guanajuato,Nogales,Heroica Nogales,Monica,3,42780
LRSY000371WVYZYB85,Dawna,Donisthorpe,Broseman,1986-11-13,Zacatecas,Magdalena Peñasco,Magdalena Peñasco,School,2644,93434
KKXU252679CUPMYG67,Daniele,Hubball,Barrington,1979-01-27,Coahuila de Zaragoza,Sabanilla,Sabanilla,Graedel,5,73965
HXBF891890UCKGWV14,Wynny,Errichi,Warbeys,2003-07-31,Baja California,Rayon,Rayon,Grasskamp,30818,23668
ANLE795782INHURO49,Stoddard,Minter,McMillan,1970-08-30,Tlaxcala,La Yesca,La Yesca,Eagle Crest,4,03909
ZGLL158524HXJBUI63,Beltran,Spyvye,Fairburne,1969-06-10,Queretaro,Tecoh,Tecoh,Eastlawn,88,70566
NKRD027104WLPMUE17,Abby,Crossby,Botte,1983-05-05,Baja California Sur,Mazatan,Mazatan,Arapahoe,20,05317
YBWB541155VSJOTE00,Biddy,Gobeau,Skate,1979-11-08,Veracruz de Ignacio de la Llave,El Carmen Tequexquitla,Villa de El Carmen Tequexquitla,Forster,8984,08385
SBGK396470ZDCVSE20,Isabeau,Boken,Wyant,1990-02-21,Baja California Sur,Perote,Perote,Holy Cross,15437,26758
GWND858686ZCKLXF38,Kurtis,Twitty,Eadmead,1967-10-20,Sonora,Santiago Cacaloxtepec,Santiago Cacaloxtepec,Grayhawk,7207,89687
DPAB288897NTSGVR34,Millie,Lamplough,Shapera,1978-03-01,Veracruz de Ignacio de la Llave,Ixtlan de Juarez,Ixtlan de Juarez,Sycamore,29883,90354
JZBE909697OUORUZ37,Berkly,Arp,Baal,1985-04-13,Chiapas,Pajapan,Pajapan,Maple Wood,92236,82548
RQTO918594GQDGCI97,Lani,Domniney,Dewen,1972-01-05,Sonora,San Luis de la Paz,San Luis de la Paz,Florence,23,31691
MLZA623382YJLKXG85,Jemie,FitzGibbon,Lamplough,2000-01-27,México,Tila,Tila,Clarendon,3149,31205
HKBV957575XICPCH91,Blondelle,Lafuente,Chavey,2004-04-01,Queretaro,Chilcuautla,Chilcuautla,Paget,07,85437
QBLN180821NSFLNI54,Karoly,Mateja,Peplay,1973-02-09,Queretaro,Aldama,Juan Aldama,Schiller,8938,80029
CZZD332091ASJXGE43,Denney,Cullen,Skullet,1970-07-20,Durango,Arteaga,Arteaga,Lawn,55593,58692
LRTT483411OGOOYH23,Chris,Giddins,Allabarton,2005-11-08,Ciudad de México,Totatiche,Totatiche,American,3018,99233
AHCF318459JEMNEY28,Dorice,McKibben,Matusson,1995-11-07,Veracruz de Ignacio de la Llave,Nejapa de Madero,Nejapa de Madero,Mallard,8796,15325
FZAM529789AMTGKS09,Anneliese,Kardos-Stowe,Pucker,1984-06-27,Durango,Huasca de Ocampo,Huasca de Ocampo,Stephen,141,73200
ORYC974914OEAVSI84,Launce,Sisey,Riddeough,1996-08-07,Hidalgo,Cumpas,Cumpas,Golden Leaf,63,89243
JLOO018191TERFGH74,Andromache,Schafer,Pallin,1984-09-28,Yucatan,Banderilla,Banderilla,Menomonie,8809,32436
LYGE143317CQNTGO06,Harriett,Cosbey,Guilloux,1970-10-17,Queretaro,Tomatlan,Tomatlan,Trailsway,470,53092
UUBS434037GUGZBZ21,Tamas,Ellins,Tichner,2005-02-15,Quintana Roo,Tezonapa,Tezonapa,Ruskin,4,75142
EIEY419904RAECLJ66,Bobbe,Ferrarone,Clutterham,2005-09-25,Sinaloa,Guelatao de Juarez,Guelatao de Juarez,Warbler,304,06927
IULM737967HPWOMU98,Beckie,Tofful,Franklen,1974-05-10,San Luis Potosi,Chapultepec,Chapultepec,Bowman,4,50814
VPXP872195VFWIIL61,Ranique,Standage,Belsham,1989-07-17,Sinaloa,Santa Catarina Loxicha,Santa Catarina Loxicha,Homewood,7,49069
QJBP076706XSKGFK35,Misha,Swalwell,McWard,1965-07-19,Coahuila de Zaragoza,Union Hidalgo,Union Hidalgo,Fallview,992,91988
JSXQ490304NAAKTR68,Leigha,Santora,Denys,2003-04-13,Tamaulipas,San Ildefonso Villa Alta,San Ildefonso Villa Alta,Holmberg,87967,78630
XIZA712941VAALSY75,Margarita,Cockill,Pleuman,1990-02-14,Sonora,Hueyotlipan,Hueyotlipan,Loftsgordon,7,93659
RNZO884402IMDGFL34,Aksel,Bande,Messenger,1996-11-24,Jalisco,Zihuateutla,Zihuateutla,Mcbride,256,23883
MZGB496544REYYBS69,Forrester,Ca,Dallmann,1987-10-23,Durango,Empalme,Empalme,Orin,671,84262
TPMQ066961FQEZHG71,Nara,Walsom,Brislane,1977-05-14,Sinaloa,San Pedro Tapanatepec,San Pedro Tapanatepec,Lakewood,00823,49914
FVYW464394JFTLKJ80,Hailey,Eldered,Andrey,1984-11-29,Aguascalientes,Salinas Victoria,Salinas Victoria,Gina,1,94780
UEXS832478QXSPFT24,Lucinda,Gligoraci,Corbyn,1984-01-19,Nuevo Leon,San Pedro Ixcatlan,San Pedro Ixcatlan,Pleasure,97141,66540
LSXI204929JDJXBM33,Locke,Langelaan,Kerrey,1975-05-13,Durango,Uman,Uman,Burrows,8,98088
TYTD516619YLIPDO25,Gonzales,Lister,Hancill,1965-02-01,Chihuahua,San Juan Colorado,San Juan Colorado,Myrtle,3943,29215
CVQG494045VXEHQM00,Jacky,Roz,Cardoo,2002-07-19,Michoacán,Coscomatepec,Coscomatepec de Bravo,Waywood,11466,67470
XBGX616489ETOXVX85,Burg,Gobell,Reicharz,1980-03-15,Zacatecas,San Pedro Apostol,San Pedro Apostol,Marquette,6029,14998
MWQG075046MJDMUP40,Goldia,Sherebrooke,Daye,1967-06-08,Zacatecas,Santa Maria Yosoyua,Santa Maria Yosoyua,Buena Vista,962,99248
WSJM686390KMCJAP58,Trenton,Graysmark,Stenhouse,1975-09-10,Durango,Santa Maria Huatulco,Santa Maria Huatulco,Sullivan,11,72831
OLYG901402EPNCVA38,Sholom,Van Leijs,Roller,1974-08-05,Baja California,Santa Lucia del Camino,Santa Lucia del Camino,Katie,1718,51699
SUFD294603ETITER02,Bing,Wasling,Lemarie,1999-01-14,Queretaro,Apizaco,Ciudad de Apizaco,Acker,52776,63354
KOBV008251OBAZYH08,Lucienne,Alpe,Falconbridge,1965-05-03,Morelos,Cuautempan,San Esteban Cuautempan,Fordem,542,76757
JEDX287919OSSQER89,Dominique,Beetham,Twell,2000-10-31,Veracruz de Ignacio de la Llave,Huanimaro,Huanimaro,Utah,36,07646
YZAN403065AJKOJX02,Tedman,Besset,Crose,1979-09-27,Michoacán,Zinacatepec,San Sebastian Zinacatepec,Melrose,9514,42112
YFJF734482MWECRR32,Nicholle,Roby,Shakespear,2003-09-27,Chiapas,Coyame del Sotol,Santiago de Coyame,Crowley,40,86906
RCDZ713284HSBLOA30,Antonie,Fewtrell,Burgess,1965-10-08,Ciudad de México,Comondu,Ciudad Constitucion,Jackson,39018,81694
FLKK666927ZYRVLJ19,Emmy,Gurry,Gomez,1978-12-26,Baja California,Coacoatzintla,Coacoatzintla,Division,2,78138
XGXW888783VBZGBJ51,Cora,Jarrard,Janodet,1991-03-01,Nayarit,Ixhuatlancillo,Ixhuatlancillo,Main,114,04138
RYCG359181GGBCSA84,Mose,Arguile,Sorrill,1990-04-07,Jalisco,Cerro Azul,Cerro Azul,Katie,2,55007
DGBW874593UNAWVA18,Clerkclaude,Dumbarton,Fincham,1998-11-16,Campeche,San Joaquin,San Joaquin,6th,25676,94139
KYJL002199NTEMKE44,Ursula,Bowld,Paddy,1985-11-30,Tabasco,Tlayacapan,Tlayacapan,Thackeray,5,20103
JNAK960776KYEOII50,Lark,Rickson,Skelcher,1979-03-19,México,Santa Maria del Rosario,Santa Maria del Rosario,Manley,7288,16072
UTIZ189160WCBSAH45,Mychal,Meighan,Yerrall,1965-03-04,Tabasco,San Jose Chiapa,San Jose Chiapa,Mandrake,4,45330
WZFV886405NPVREV55,Thibaut,Rudgerd,Blaker,1981-04-30,Chihuahua,Xochiapulco,Cinco de Mayo,Dawn,6,75745
JDCN928806DHWZCC91,Emelyne,Sutton,Allsop,1981-06-12,Jalisco,Astacinga,Astacinga,Heath,55860,67650
RIIQ190833OJHATX20,Kayne,Minichi,Bardey,1972-11-14,México,Huachinera,Huachinera,Upham,8,83332
MRQN124951OTKZOM78,Daryl,Daleman,Minichi,1968-05-19,Quintana Roo,Mezquitic,Mezquitic,Ridgeway,5,07267
MMGK655941AGKUPH07,Rosanne,Smyley,Guidi,1990-07-29,Michoacán,Tlacotalpan,Tlacotalpan,Truax,283,33687
UEGZ215097DYHONC29,Nappy,Bellin,Pilipets,1994-03-22,Campeche,San Jeronimo Tecuanipan,San Jeronimo Tecuanipan,Buell,9,33909
EYQE403947WEPZDJ76,Cecilio,Vaugham,MacGowing,1985-11-02,Zacatecas,Seye,Seye,Anniversary,89298,00980
MJBT484129ZLHBBF80,Holly-anne,Gillum,Zanioletti,2002-11-15,Aguascalientes,Benito Juarez,Florencia,Corry,126,34914
DYIA180022EUBSOU57,Derril,St. Quintin,Barreau,1966-11-09,Oaxaca,Sahuaripa,Sahuaripa,Continental,161,70689
ORTW024895VOHVRI07,Vito,Forrington,Nafzger,1989-11-20,Hidalgo,General Plutarco Elias Calles,Sonoita,Schmedeman,0,01473
DXAC020753RVULDS04,Erna,Pridham,Coppenhall,2004-04-14,Michoacán,Camargo,Ciudad Camargo,Brentwood,1702,20912
AQPQ591127LKGRRK62,Jamie,Medcalf,Hiorn,1977-06-25,Baja California Sur,La Compañia,La Compañia,West,241,79052
XOHT641658SMHWGV47,Avery,Petel,Woodcraft,1999-06-27,Baja California Sur,Tuzantan,Tuzantan,Bartelt,610,63119
IAIW032456TTWHED28,Anselma,Hynde,Kelbie,1975-11-11,Nuevo Leon,Escuintla,Escuintla,Ilene,0,00387
RCIR601878HXUDYL48,Robinson,Shevell,Diboll,2001-01-21,Nayarit,Santo Tomas Ocotepec,Santo Tomas Ocotepec,Bluejay,8,38477
DQMF887250RBIBLU08,Billie,Parsisson,Clyant,1993-04-01,Tlaxcala,Santa Maria Colotepec,Santa Maria Colotepec,Bowman,5615,36823
PNRH028270PZWUTX46,Gustave,Mabley,Arnison,1998-05-26,Tabasco,San Lorenzo Albarradas,San Lorenzo Albarradas,West,43,17347
TDKC066987KBPCRQ25,Cully,Vogeller,Vitet,1993-06-25,Veracruz de Ignacio de la Llave,San Buenaventura,San Buenaventura,Farmco,0137,82894
YNSB450136LCZFJZ90,Harmon,Coo,Seaward,1986-03-01,Michoacán,Akil,Akil,Grim,36,61771
DKUB023646XTJVTH99,Brander,Rosoni,Gate,1974-01-05,Ciudad de México,Salvatierra,Salvatierra,North,700,37602
UURG063351QHNXQO49,Klemens,Dagger,Swyer-Sexey,1985-07-14,Campeche,Villa de Cos,Villa de Cos,4th,4146,48429
LTUD640347MTBTJX35,Jordana,Rodda,Jebb,2004-07-29,Jalisco,Benito Juarez,Benito Juarez,Banding,0815,71187
TWBY619001LHOJSO61,Ragnar,Unsworth,Schwerin,1985-07-30,Jalisco,Tecolutla,Tecolutla,Esch,35,90236
JVJM645218GPWQLQ10,Ogden,Farron,Starr,2005-01-17,Tabasco,Camocuautla,Camocuautla,Knutson,20169,82572
BFRQ014112KFBREY08,Weidar,Mellings,Brigman,1972-08-26,Tamaulipas,Sanctorum de Lazaro Cardenas,Sanctorum,Packers,49,55296
YKEX312744TVWFXM95,Horten,Neeves,Lambertz,1974-04-13,San Luis Potosi,Acajete,Acajete,Dunning,75998,02661
KRNF517334EXIMTE51,Jessee,Oultram,Syson,1999-08-12,Chihuahua,San Andres Huayapam,San Andres Huayapam,East,857,38600
XOLJ568420QPMRZC36,Patty,Poytheras,Handforth,1987-02-26,Guerrero,Celaya,Celaya,Manufacturers,32120,13852
YLQE540356SOOASC02,Maddalena,Riggeard,Andrewartha,1986-03-31,Queretaro,Abasolo,Abasolo,Gina,3,95986
EBLE696742OLWZAO64,Doralynne,Sappson,Golden,1967-10-15,Puebla,Malinalco,Malinalco,Armistice,48202,24870
EZYK283304DJLQVN12,Dee,Brissenden,Barajas,1998-12-15,México,Francisco Leon,Rivera el Viejo Carmen,Lien,44186,98205
ZGEA927873FXWTLJ45,Leila,Creer,Edinborough,1987-10-05,Coahuila de Zaragoza,Villa Talea de Castro,Villa Talea de Castro,Northfield,43,68061
GSRM888452WNUQZQ09,Tate,Hutable,Bish,1969-01-04,Zacatecas,Atzalan,Atzalan,Division,533,75283
SNRH421804CQXVPE52,Evangeline,Cote,Buckmaster,1991-10-18,Campeche,Tatahuicapan de Juarez,Tatahuicapan,Sutherland,47753,48660
AUYK608811EJJUYK68,Starlin,Deacon,Bailles,1994-05-31,Tlaxcala,Matlapa,Matlapa,Bartelt,92,17823
TVOA812146NDKYUC95,Teriann,Lefley,Killby,1997-02-23,Tabasco,San Simon Almolongas,San Simon Almolongas,Melrose,8,52544
NQAL077252VQAMGQ58,Estrella,Havill,McCosker,1987-06-22,Chihuahua,Jalpa de Mendez,Jalpa de Mendez,Morrow,3,90362
HGSG112349HXHCIR22,Cosetta,Larenson,Tabrett,2000-05-27,Zacatecas,Agualeguas,Agualeguas,Village,613,48069
