curpcajero,idsucursal,nombrecajero,paternocajero,maternocajero,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
QQJP528621KEUHBT65,S-00005,Krystle,Poles,Feasley,1988-11-10,Nuevo Leon,Pesqueria,Pesqueria,Jackson,76390,83818
YKBP114846OPECUY88,S-00015,Dawna,Braunstein,Fiveash,2009-12-08,Hidalgo,Pachuca de Soto,Pachuca de Soto,Crowley,93,57625
DWWZ049862PPUJAA76,S-00011,Berkie,Sinnock,Sansbury,1976-03-25,Coahuila de Zaragoza,Lamadrid,Lamadrid,3rd,194,87099
XEYE768094VZYNTK33,S-00011,Caressa,Pilger,Jermey,2004-08-16,Coahuila de Zaragoza,Lamadrid,Lamadrid,Golf View,78,73810
MOWI003529WFQYHM72,S-00009,Jasmina,Remmer,Balderstone,2002-05-14,Chihuahua,Juan Aldama,Juan Aldama,Heath,141,87663
MNWU607001HHETKN11,S-00004,Bernarr,Heathcote,Verriour,1976-04-15,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Bluejay,011,85554
MRBQ948931KPGGCE57,S-00004,Kelwin,Impy,Mibourne,1993-06-26,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Homewood,62360,84477
BMIJ551838SWUYWO07,S-00007,Udale,Sans,Hatwell,1976-11-13,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Independence,7,27355
LXYA030420NOTFHM46,S-00002,Emalia,Eykelbosch,Seifert,1976-10-07,Aguascalientes,Palo Alto,Palo Alto,Fulton,32,51058
NRLM445908TEEFTJ77,S-00011,Martin,Elles,Muff,2004-01-18,Coahuila de Zaragoza,Lamadrid,Lamadrid,Transport,85722,80178
YYWH583733CMRDJW07,S-00006,Archer,Croshaw,Cameli,1981-06-21,Baja California,Tijuana,Tijuana,Pleasure,2,57580
TDWZ329708MWOQCW13,S-00003,Kimberley,Deering,Galgey,1981-11-04,Queretaro,Peñamiller,Peñamiller,Lawn,31914,91694
RBPO076373NUPYKJ46,S-00009,Hewett,Deeth,Meagh,1977-06-18,Chihuahua,Juan Aldama,Juan Aldama,Carberry,131,27814
RHXD742431YPMWRQ89,S-00007,Llewellyn,Cluer,Everil,1993-11-11,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Briar Crest,5047,12893
BCGI074232ICBQYA49,S-00008,Lori,Deem,Starford,2006-11-12,Oaxaca,El Espinal,El Espinal,Mifflin,4,82485
VTGS049006CGWMSE64,S-00010,Demetrius,Leyman,Gillespey,2002-10-11,Guerrero,Copala,Copala,Morning,78931,53703
QFFQ269270RITNFP74,S-00015,Monah,Bernardes,Livesley,1992-03-29,Hidalgo,Pachuca de Soto,Pachuca de Soto,Oxford,8365,61542
YSAV312568LANLYV52,S-00011,Kris,Chatelot,Rand,1989-02-20,Coahuila de Zaragoza,Lamadrid,Lamadrid,Del Mar,08494,94702
FKWD984669HEFBMN37,S-00013,Alaric,Poli,Zieme,1985-11-24,Campeche,Champoton,Champoton,Old Shore,4,86313
KWAD987360BZHWNC45,S-00014,Cleavland,Campkin,Gunthorpe,1976-11-30,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Johnson,584,27363
UHPS373773RKVUPS52,S-00003,Webster,Jirek,Townby,1976-02-01,Queretaro,Peñamiller,Peñamiller,Morning,3151,91575
JTTU155249KAQRMV98,S-00015,Shamus,Gridley,Do,2004-01-01,Hidalgo,Pachuca de Soto,Pachuca de Soto,Beilfuss,76812,85204
DMXB684887BPUBEX70,S-00015,Patti,Trahearn,Cockling,2007-01-03,Hidalgo,Pachuca de Soto,Pachuca de Soto,Jackson,5484,86797
EFPB511063AACFTI52,S-00010,Marie-jeanne,Braunstein,Keaves,1981-11-03,Guerrero,Copala,Copala,Oakridge,040,86688
TQGW464096EDDNYX99,S-00011,Ginger,Morales,Batchley,1995-09-15,Coahuila de Zaragoza,Lamadrid,Lamadrid,Grasskamp,2,52879
IDEW419654DZVKJO68,S-00015,Janeta,Smitheman,Patley,1983-11-04,Hidalgo,Pachuca de Soto,Pachuca de Soto,Reinke,6,99995
HMHR826995PHJKOJ81,S-00001,Jillie,Botly,Crop,2009-10-19,Distrito Federal,N/A,Churubusco,Gateway,5787,68139
ERWU095373HJILFH50,S-00014,Reginauld,Redhouse,Pybus,1979-12-18,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Wayridge,56873,17420
YQUX051959IQEZOC09,S-00007,Sophey,Sandall,Rameau,1984-06-25,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Pepper Wood,6487,47872
TZGP286758RVHBZT15,S-00003,Joeann,Garrigan,Cotesford,1992-08-23,Queretaro,Peñamiller,Peñamiller,2nd,0672,72881
IQZL964226DPGKAF32,S-00006,Veronica,Bestiman,Kennet,1999-03-11,Baja California,Tijuana,Tijuana,Oak,721,59497
CZHI025557ZUFQIT40,S-00006,Alick,Cresar,Deevey,2008-09-08,Baja California,Tijuana,Tijuana,Mifflin,30,75363
IMJY431327EMMKOT59,S-00014,Haroun,Scothern,Milesap,1998-04-01,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Longview,9660,60569
LZRF696179VSJWOL15,S-00004,Jean,Parfett,Gabites,1982-06-26,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Kensington,060,27760
HERI655108MHMOEA49,S-00001,Dulcy,Riddich,Harg,1992-07-18,Distrito Federal,N/A,Churubusco,Morningstar,77,48133
NTDU893005DESVMS46,S-00009,Derril,Grinvalds,Crady,2003-07-08,Chihuahua,Juan Aldama,Juan Aldama,Jenna,607,38417
KTLQ674906SDIGGY44,S-00006,Norbie,O'Codihie,Duffie,2007-05-04,Baja California,Tijuana,Tijuana,Scofield,0,11186
NLAK973358HQQCMJ20,S-00014,Henrie,Draayer,Cornfoot,1996-01-06,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Bayside,83191,57004
GVGS547410JFHDCW55,S-00004,Adolpho,Mabey,Milch,1995-04-22,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Oriole,89,77830
HRBM212250JVDTVZ45,S-00015,Floris,Rangell,Pawson,1986-11-06,Hidalgo,Pachuca de Soto,Pachuca de Soto,Mandrake,1814,91008
VIVC037383BPYBJO18,S-00013,Maurise,Mityakov,Garber,1977-03-13,Campeche,Champoton,Champoton,South,96,69017
KRIO074364FPVKVB38,S-00005,Olivie,Lockley,Goodge,1993-12-23,Nuevo Leon,Pesqueria,Pesqueria,Lerdahl,3,24392
AOKP165301JUSAIB85,S-00008,Alair,Mariette,Walas,1978-04-07,Oaxaca,El Espinal,El Espinal,Washington,07,10849
MYDG221962GDMKEY66,S-00009,Lida,Canedo,Martygin,1992-10-20,Chihuahua,Juan Aldama,Juan Aldama,Barby,83,80406
KPFA377913UAXRCF16,S-00008,Pam,Honack,Yeats,1995-04-05,Oaxaca,El Espinal,El Espinal,Jenna,4,54192
JTEK139478EODRRR53,S-00015,Brett,Burcher,Schuler,1988-09-21,Hidalgo,Pachuca de Soto,Pachuca de Soto,Moland,8,15712
STIS755209MQFZJB19,S-00013,Bud,Bartocci,Worters,1979-12-10,Campeche,Champoton,Champoton,Talmadge,5578,94921
HDHQ235893PIVPVK21,S-00007,Garv,Whight,MacGillreich,1976-10-17,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Dayton,2090,79912
MHPE601430YBNHIS00,S-00001,Jodie,Giorgini,Noury,1981-04-05,Distrito Federal,N/A,Churubusco,Gulseth,986,57204
SUOF329288QRGQVI75,S-00015,Bobby,McOrkil,Hiscoke,2001-12-29,Hidalgo,Pachuca de Soto,Pachuca de Soto,Old Shore,0050,23094
ISNK308821ZYWQUL35,S-00003,Stanford,Ewles,Witheridge,1996-02-13,Queretaro,Peñamiller,Peñamiller,Scott,078,17470
TDQO633890SDQYED62,S-00012,Juieta,Betteriss,Mattes,1987-03-26,Morelos,Cuernavaca,Cuernavaca,Aberg,150,69618
MSHM420107XSVXEI20,S-00003,Isobel,Klulik,Pennaman,2000-05-04,Queretaro,Peñamiller,Peñamiller,Hovde,0489,55349
PUJQ246478BDCLVC86,S-00014,Joline,Pearcey,Leger,1987-12-28,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Kedzie,624,40315
PWPD950954NJBJZS53,S-00004,Bondie,Eltun,Bisacre,2008-05-14,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Nova,480,15206
BMZS450902UCIFDD35,S-00011,Orion,Oliveira,Kernan,1991-10-03,Coahuila de Zaragoza,Lamadrid,Lamadrid,Cardinal,423,51393
PRAQ225439RXGIQF14,S-00005,Verge,Ezzell,Georgelin,1993-01-25,Nuevo Leon,Pesqueria,Pesqueria,Tennyson,4,31278
UORU016863YKAWGK84,S-00003,Gene,Jell,Jenicke,1986-10-15,Queretaro,Peñamiller,Peñamiller,Scofield,15,38421
FMVI933011TONVHN78,S-00008,Noelle,de Copeman,Schmidt,2009-06-24,Oaxaca,El Espinal,El Espinal,Thackeray,582,96811
XHDX373830JMVCNO50,S-00013,Suzann,Denisovich,Chatenier,1979-08-09,Campeche,Champoton,Champoton,Springview,655,59819
IJYD283737GUTAZO87,S-00007,Tove,Tilzey,Laite,2003-04-15,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Gerald,4839,69746
BRWE081780FSRQLB08,S-00007,Lamont,Massen,O'Geneay,1983-08-17,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Evergreen,073,32657
NXYH630110QBJGRH50,S-00011,Edmon,Ebenezer,Marde,2009-07-26,Coahuila de Zaragoza,Lamadrid,Lamadrid,Pennsylvania,96,48296
GICV575050QFHFXB75,S-00015,Albina,Sandison,Catherine,1987-09-11,Hidalgo,Pachuca de Soto,Pachuca de Soto,Caliangt,59,56252
EQZP903108DWZZRE10,S-00006,Karna,Allsup,Ruggen,1999-02-02,Baja California,Tijuana,Tijuana,Lakeland,05,47113
EHQS237169XJSKEZ91,S-00015,Alvy,Grigorkin,Niece,1978-05-25,Hidalgo,Pachuca de Soto,Pachuca de Soto,Center,154,81499
OZXN522453YTYKHA83,S-00008,Ramsey,Tripean,Akaster,2005-05-10,Oaxaca,El Espinal,El Espinal,Roxbury,948,89869
ZDMY138525MVULKM54,S-00013,Tarah,Topaz,Feldon,1976-03-04,Campeche,Champoton,Champoton,Oxford,2814,18219
JFVS037467HNEQWX58,S-00011,Andra,Petrolli,Jewise,1979-02-27,Coahuila de Zaragoza,Lamadrid,Lamadrid,Independence,660,80056
FZHB299061APXBWN24,S-00006,Wald,Zanicchi,Stovine,1976-01-04,Baja California,Tijuana,Tijuana,Pleasure,3033,82633
ERCN275493HTETDD72,S-00009,Sloan,Kohnert,Sives,1999-08-10,Chihuahua,Juan Aldama,Juan Aldama,Del Mar,0,18393
HBWF962922IPKWBH43,S-00009,Cordy,MacShane,Cowins,1981-07-22,Chihuahua,Juan Aldama,Juan Aldama,Florence,578,35822
GTCE719899ZVTNHY28,S-00001,Ingram,Hallt,Frow,1998-06-21,Distrito Federal,N/A,Churubusco,Reinke,8,55721
MWXH461094XCRYDB44,S-00002,Leslie,Harnott,Wherrit,1994-01-20,Aguascalientes,Palo Alto,Palo Alto,Kinsman,62820,68780
XPAK832553FMHAVC14,S-00001,Antonia,Embra,Plumbley,1994-09-28,Distrito Federal,N/A,Churubusco,Chive,356,44209
NBYK009341MWQSNA20,S-00011,Benedicto,Loos,Freeborn,2006-07-24,Coahuila de Zaragoza,Lamadrid,Lamadrid,Roth,8,33282
MMOE924205JAMRIQ78,S-00006,Freeland,Casarili,Hallen,2004-10-02,Baja California,Tijuana,Tijuana,Village,29,12996
AEDL371022PPCBJB37,S-00004,Mab,LeEstut,Galler,1980-01-26,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Steensland,4,51200
NSBX387274SWBXBY03,S-00005,Jere,Hearse,Ayliffe,1978-06-08,Nuevo Leon,Pesqueria,Pesqueria,Dryden,27148,11179
SONL158432JCMULK27,S-00012,Maurice,Pymm,Abbots,1993-03-22,Morelos,Cuernavaca,Cuernavaca,Hintze,98943,28952
LEWW164119IKQSVE28,S-00011,Norene,Mackilpatrick,Jackalin,1977-03-17,Coahuila de Zaragoza,Lamadrid,Lamadrid,Thompson,5,69941
DLEW938334EOJPOA09,S-00006,Leon,De Vaar,Andreolli,1976-01-19,Baja California,Tijuana,Tijuana,Rutledge,64756,60750
OKJT851450IZKHJQ28,S-00001,Stewart,Kavanagh,Allery,1997-10-17,Distrito Federal,N/A,Churubusco,Eagle Crest,2,39088
HLFZ465330STOUYR12,S-00014,Bing,de Clercq,Purchon,1977-10-26,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Arkansas,6815,50123
KBBS799924THZMDD81,S-00013,Russell,Manie,Amaya,1996-10-12,Campeche,Champoton,Champoton,Fuller,07964,92573
XMTJ316718HOMGUK87,S-00006,Abramo,Mongin,Bolitho,2003-11-17,Baja California,Tijuana,Tijuana,Ilene,6,28512
GAQO846344RJYDBS16,S-00012,Lamond,Astie,Sabberton,2004-05-24,Morelos,Cuernavaca,Cuernavaca,Carioca,7,79729
ACUK911633QIMWJM29,S-00004,Julee,D'Aeth,Matevushev,2001-03-08,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Summerview,326,41502
IYUP479106IWQCPQ88,S-00009,Alicia,Ivan,Casswell,1992-07-18,Chihuahua,Juan Aldama,Juan Aldama,Mandrake,59,16518
GDAC368473ZRXUOV21,S-00013,Ivonne,Aaron,Fabler,1977-11-06,Campeche,Champoton,Champoton,Utah,7855,70526
FUTN058700TEKKFL18,S-00007,Paco,Bordessa,Tombling,2002-12-03,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Novick,31,64399
UCIO665543OWDLTW75,S-00014,Derwin,Cankett,Kopacek,1993-03-27,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Morningstar,3,17967
QNXV866987VHNVXY87,S-00013,Orazio,Burniston,Wilmore,1992-10-20,Campeche,Champoton,Champoton,Union,59055,96675
JCXK832930ZNNSXN95,S-00015,Rafaello,Fulun,Dudlestone,1993-01-30,Hidalgo,Pachuca de Soto,Pachuca de Soto,Manley,6465,34445
ERIS518932CTSENG83,S-00011,Milena,Ibbeson,Gouldstraw,1993-07-24,Coahuila de Zaragoza,Lamadrid,Lamadrid,Arapahoe,82021,15355
GSZY225736VAJWYS83,S-00004,Barris,Gaynes,O'Hollegan,1997-07-31,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,West,0952,94559
PKOV538952TSJZLC93,S-00009,Tyson,Perrigo,McGrail,2009-11-11,Chihuahua,Juan Aldama,Juan Aldama,Autumn Leaf,646,85742
AMIT770822ZQKBPZ93,S-00015,Barny,Huckerby,Simmens,2004-04-03,Hidalgo,Pachuca de Soto,Pachuca de Soto,Victoria,6056,83930
GCKK461933KKMEVL94,S-00005,Berkley,holmes,Trowell,1984-11-22,Nuevo Leon,Pesqueria,Pesqueria,Petterle,9,34540
WTEI224253ZZWILK98,S-00007,Trixy,Yanin,Boyde,2006-04-15,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Kipling,37,40915
TJCJ237008OLGUOB56,S-00008,Winni,Gudahy,Eleshenar,1988-12-05,Oaxaca,El Espinal,El Espinal,Bultman,059,90628
OPMN582449XZCIRI32,S-00015,Cindie,Marunchak,Deere,2001-09-04,Hidalgo,Pachuca de Soto,Pachuca de Soto,Havey,1540,73074
PLSD482129SJIKGC14,S-00006,Shelba,Blaase,Nicolls,2002-06-07,Baja California,Tijuana,Tijuana,Spenser,60073,53783
GXHF153095DZNMKU33,S-00012,Giulia,Beatty,Trebble,1998-08-27,Morelos,Cuernavaca,Cuernavaca,Corry,7707,30377
OZBC420249KRUNQN78,S-00010,Onida,Nobles,Bernakiewicz,1996-01-13,Guerrero,Copala,Copala,Columbus,43,51828
AQFA825046LOETYH74,S-00010,Benni,Leggott,Gerring,2000-05-06,Guerrero,Copala,Copala,Cottonwood,1161,27312
JZTR906828XIDNJB72,S-00008,Emmalynne,Ubach,George,1997-06-10,Oaxaca,El Espinal,El Espinal,Kinsman,46,60779
JBDI345301OHGEOF26,S-00003,Dasya,Braffington,Biasioli,1994-07-19,Queretaro,Peñamiller,Peñamiller,Grasskamp,9029,13689
YWVF218542MJZAQF63,S-00001,Clifford,Somerscales,Minister,1980-05-20,Distrito Federal,N/A,Churubusco,Old Gate,9666,68034
KELN699807QIAIFN71,S-00015,Hartley,Fairlamb,Brompton,1986-10-26,Hidalgo,Pachuca de Soto,Pachuca de Soto,Milwaukee,8016,40452
WURA154841VBTJLD95,S-00012,Chanda,Mothersole,Giacomuzzo,1991-05-26,Morelos,Cuernavaca,Cuernavaca,Lukken,6,13739
WROE398841EAWTQM17,S-00010,Stanislaus,Porson,Ladbrooke,1989-10-15,Guerrero,Copala,Copala,Hovde,857,89584
BEQC825021UGFOQF85,S-00014,Matthias,Truder,Eneas,1984-01-24,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Crownhardt,1,90444
XNFP697095VTFDXU04,S-00008,Ephraim,Bradburne,Doran,1980-09-20,Oaxaca,El Espinal,El Espinal,Cody,117,68328
GSXN440312ZOPNWJ86,S-00010,Liesa,Beardwood,Venediktov,2000-10-12,Guerrero,Copala,Copala,Center,75238,26659
XEOJ957488KXBBLM79,S-00006,Gweneth,Harrad,Setterfield,1976-03-01,Baja California,Tijuana,Tijuana,Randy,9578,80888
UYJA397158OODOJA75,S-00008,Lorine,Tivnan,Penreth,1982-12-31,Oaxaca,El Espinal,El Espinal,Morrow,537,30335
BMXU816427TGSNLY93,S-00004,Quintin,Blofeld,Steger,1998-06-13,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Redwing,91,86253
ZMIY636939JTDLVX86,S-00009,Nicolis,Leftly,Dearsley,1987-05-25,Chihuahua,Juan Aldama,Juan Aldama,Claremont,0,83512
YDJV922475WRZDYN37,S-00014,Roda,Bellwood,Hasard,2006-03-12,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Lyons,7580,11622
HNLU411841GHEZDJ99,S-00011,Alphard,Risebarer,Eaglestone,2009-04-30,Coahuila de Zaragoza,Lamadrid,Lamadrid,Shoshone,10,97197
WHKL572168ZWOLNR29,S-00007,Reube,Crowder,Stenyng,2009-03-19,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Vahlen,264,57933
MGTT247034FABLXI79,S-00013,Jodi,Buckenhill,Breslin,1993-10-21,Campeche,Champoton,Champoton,Randy,036,27110
WZCD483134TBGYKX68,S-00010,Brinn,Shoebotham,Spadaro,1998-04-01,Guerrero,Copala,Copala,Moose,285,49971
GJYS469974FISFTU65,S-00004,Irvin,Winsiowiecki,Shimony,1991-12-17,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Anniversary,874,57607
TVQY704141MHQXOU57,S-00004,Beale,Pickett,Harrill,1976-11-05,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Manley,20,26924
BKKC163678DJTXBN68,S-00001,Deirdre,Utley,McElrea,1976-03-10,Distrito Federal,N/A,Churubusco,Pierstorff,017,33819
DMYZ621071ECNERS78,S-00010,Leda,Leak,Anshell,1982-12-23,Guerrero,Copala,Copala,Glacier Hill,54,72500
LOWM204932BANZHF81,S-00015,Janek,Philipsson,Rickesies,1987-12-08,Hidalgo,Pachuca de Soto,Pachuca de Soto,Manley,82685,57647
AIBO916629DIHRVA55,S-00010,Tad,Klugel,Kenny,1983-11-20,Guerrero,Copala,Copala,Pine View,1,18608
BZPD844566WWACKV97,S-00015,Tally,Zylberdik,Redfearn,1979-08-05,Hidalgo,Pachuca de Soto,Pachuca de Soto,Mandrake,7,49902
MIHA405191ZGUDKC35,S-00012,Flori,Sorby,Brookes,1985-07-04,Morelos,Cuernavaca,Cuernavaca,Knutson,064,25781
EXVV922866LFJUWZ24,S-00010,Lurleen,Maypes,Hanbury,2005-09-30,Guerrero,Copala,Copala,Rusk,97584,77411
AKFJ534005DHZPIL06,S-00007,Stanwood,Norvell,Leithgoe,1989-02-15,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Dayton,05,22565
DPIT913082RZYUWV46,S-00001,Marie-jeanne,Ingrey,Pithie,1978-09-10,Distrito Federal,N/A,Churubusco,Dapin,631,54770
OVLQ496451GJZHBZ39,S-00011,Alexio,Ruddom,Codner,2007-10-28,Coahuila de Zaragoza,Lamadrid,Lamadrid,Lindbergh,53921,65836
RFPA691048YKBZCN89,S-00009,Ardene,Floyed,Lardner,2005-01-15,Chihuahua,Juan Aldama,Juan Aldama,Service,9,42887
MTHS502604CUXXMQ09,S-00013,Jordan,Hansod,Hingeley,1983-03-02,Campeche,Champoton,Champoton,Dakota,7,74237
ZZNG197412VANUSN86,S-00010,Corrine,Bustin,Sauvain,1991-03-07,Guerrero,Copala,Copala,Everett,28,62111
TFDD482328BKJRAU38,S-00007,Miguelita,MacAughtrie,Gyngyll,1982-02-21,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Pond,5,26982
ZGOR592052YOBSMQ03,S-00015,Nance,Stubbes,Rotlauf,2006-03-11,Hidalgo,Pachuca de Soto,Pachuca de Soto,Wayridge,3,55891
MNWO670632QKRDXW88,S-00005,Adel,Shawcroft,Tessyman,2008-04-23,Nuevo Leon,Pesqueria,Pesqueria,Superior,35466,12194
ZTAI039936HHIODQ60,S-00010,Reta,Dayes,Peel,1994-07-22,Guerrero,Copala,Copala,Cody,4212,14937
GAMG555646UCGSET28,S-00014,Etheline,Hinckley,Siburn,2010-05-14,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Main,5,95592
DSBV458826PHICIR83,S-00002,Danice,Husset,Losemann,2007-08-03,Aguascalientes,Palo Alto,Palo Alto,Main,4,38628
MQBY720580OLMCPQ42,S-00012,Erhard,Copperwaite,Le Page,1982-04-30,Morelos,Cuernavaca,Cuernavaca,Banding,439,36849
ORYG525444UISOZN02,S-00006,Elva,Ewbank,Nancarrow,2001-12-21,Baja California,Tijuana,Tijuana,Jana,17302,85152
SASR368637FYGWCM88,S-00013,Raina,Scadding,Crutcher,1993-01-19,Campeche,Champoton,Champoton,Claremont,47,94110
VBEC895156CYBSSF54,S-00013,Riordan,Steanson,Hassan,2007-05-07,Campeche,Champoton,Champoton,Lakewood Gardens,99831,43344
DZIN788550YNNFHF99,S-00009,Lorianne,Baldacchi,Swinburne,2003-10-19,Chihuahua,Juan Aldama,Juan Aldama,Melvin,8,58371
HXCO215588AGKACD84,S-00008,Jean,Yesichev,D'Ambrosi,1992-09-09,Oaxaca,El Espinal,El Espinal,Calypso,96560,43085
QYSW896009JLODFO51,S-00015,Emory,Rieme,Fauning,1992-06-28,Hidalgo,Pachuca de Soto,Pachuca de Soto,Bonner,1,68183
RSVN003636GYMUKA27,S-00014,Bryanty,Webborn,McCloud,1994-07-10,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Express,4,26735
MZPK981983EYYMBI73,S-00003,Hortensia,Ricciardiello,Evison,1998-02-15,Queretaro,Peñamiller,Peñamiller,Shoshone,8,58437
AQTB547663JLWGBV40,S-00002,Isabelle,Jaquiss,Yakebovich,2007-12-21,Aguascalientes,Palo Alto,Palo Alto,Oak Valley,260,38974
HAZM475163ZTAMNB54,S-00003,Salomo,Balmadier,Klaaassen,1989-05-28,Queretaro,Peñamiller,Peñamiller,Towne,77410,45333
URBZ764182EQEFVJ30,S-00007,Der,Knight,Bearne,1993-10-01,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Sundown,775,66599
AKBY091184WINXJZ86,S-00006,Bobbye,Brik,Mogg,1992-02-14,Baja California,Tijuana,Tijuana,Fremont,1,93334
TUOM995907XYJCOI25,S-00005,Burr,Hedney,Aizik,1994-11-16,Nuevo Leon,Pesqueria,Pesqueria,Pennsylvania,0,50795
GFFK115821UFMLRD79,S-00014,Iris,Born,Alesbrook,1975-09-12,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Rigney,5529,20480
WCPL758546FRSXOC68,S-00006,Lisetta,Branni,Newis,1991-02-06,Baja California,Tijuana,Tijuana,Dunning,01785,61013
SDSE713801WNPBLR19,S-00006,Tomaso,Seiler,Sherrell,2008-11-30,Baja California,Tijuana,Tijuana,Arkansas,5,46705
DONH070725WSIZJQ09,S-00002,Osmond,Phillcox,Lewing,1994-03-22,Aguascalientes,Palo Alto,Palo Alto,Caliangt,11154,44076
XIIY431219LGYKAC14,S-00001,Ellsworth,Prandi,Tylor,1978-12-20,Distrito Federal,N/A,Churubusco,Hoepker,96,31999
MWFN395656CCOLAQ22,S-00014,Herbert,Bernollet,Gostridge,1990-02-12,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Summer Ridge,2,42617
MDQM653149MUENSY54,S-00015,Margot,Beaston,Insko,1978-04-20,Hidalgo,Pachuca de Soto,Pachuca de Soto,Tony,6,94221
GYCX208157BULOJB42,S-00010,Bord,Swinyard,Annear,1984-04-15,Guerrero,Copala,Copala,Spohn,17,52188
PTUI775588UEAUBD81,S-00004,Taylor,Salery,Spearett,1982-04-15,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Bartillon,8,21178
RTDV836169UMTLNC95,S-00014,Edna,Youel,Wharton,2001-04-13,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Old Shore,01784,67063
YOSN329728ZWFXFG09,S-00001,Felicio,Joubert,Lawdham,2002-08-20,Distrito Federal,N/A,Churubusco,6th,94946,91964
FVQR869091WTKTED30,S-00014,Cobb,Piercy,Maddaford,2006-07-15,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Veith,93,36465
VQFD333573BDJPZK65,S-00004,Elfie,Usher,Mathevon,1976-08-24,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Banding,40367,76804
WXWW782405ETBPBA33,S-00013,Gipsy,Beatens,Britland,1977-11-03,Campeche,Champoton,Champoton,Talmadge,36,33282
BRIO002152XLRWUN73,S-00006,Reidar,MacGown,Stapleford,1997-09-20,Baja California,Tijuana,Tijuana,Gale,9903,26010
WDCV589551GCSLPG38,S-00012,Gard,Merfin,Hessel,1988-03-23,Morelos,Cuernavaca,Cuernavaca,Spenser,83,90433
CCGW986804KXSGGG01,S-00008,Otha,Davis,Janjic,1987-04-05,Oaxaca,El Espinal,El Espinal,Macpherson,71190,62988
ESAD904713RZCLMM72,S-00006,Tessi,Grahame,Casel,2006-09-03,Baja California,Tijuana,Tijuana,Corben,9,49876
OQGQ424780BJLENM31,S-00004,Kirby,Ardern,Wrathmall,1989-01-10,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Mallard,99,75301
IPLR155663LOVLMN59,S-00008,Catarina,Atcherley,Megroff,1987-01-23,Oaxaca,El Espinal,El Espinal,Bowman,2,50444
CGBA180756HSOPYC57,S-00012,Pippo,Kinnach,Scoffham,2008-04-26,Morelos,Cuernavaca,Cuernavaca,Morning,5,38108
WXCG681129BEXWFB12,S-00012,Adrienne,Poyser,Ovington,1987-08-25,Morelos,Cuernavaca,Cuernavaca,Moland,23,61258
EILS338652FQUXJB55,S-00007,Ludwig,Berick,Stanyon,1978-08-27,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Dahle,416,82360
IBHP642768HXAZWK20,S-00005,Coleman,Leece,Wehden,2007-11-09,Nuevo Leon,Pesqueria,Pesqueria,Schmedeman,99704,64202
NFTR060993GFMCAJ57,S-00001,Roseline,Serle,Killigrew,1980-06-03,Distrito Federal,N/A,Churubusco,Steensland,25,81223
SFFN069981YGITAJ00,S-00006,Jae,Bonallick,Battram,1982-01-12,Baja California,Tijuana,Tijuana,Hansons,33043,28356
