curpgerente,idsucursal,nombregerente,paternogerente,maternogerente,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
JRTR335848QKPCXM63,S-00012,Mauricio,Canadas,Etches,1987-03-05,Morelos,Cuernavaca,Cuernavaca,Arapahoe,301,43663
DJFI609075ULNAZJ42,S-00006,Findlay,Errey,Birbeck,1973-04-15,Baja California,Tijuana,Tijuana,Vahlen,678,86543
MIZH641649QPSGMW42,S-00006,Erminie,Mustarde,Galley,1974-05-04,Baja California,Tijuana,Tijuana,Anniversary,284,18319
LCWS873379FUAFIJ17,S-00001,Carmelle,Dell Casa,Hathway,1995-12-17,Distrito Federal,N/A,Churubusco,Sugar,035,62017
RBDJ542164TQBUSV50,S-00005,Flint,MacIlwrick,Wadwell,1979-05-03,Nuevo Leon,Pesqueria,Pesqueria,Bay,212,58622
ZWHJ213460HHJVDC13,S-00005,Randene,Domke,Andriesse,1993-03-06,Nuevo Leon,Pesqueria,Pesqueria,Kings,689,80419
SMJD958977NMWTSB49,S-00014,Timoteo,Yggo,Corneil,1985-05-29,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Comanche,490,51253
NODX947749PKUXYT98,S-00013,Hettie,Budnik,Onions,1996-12-28,Campeche,Champoton,Champoton,Eastwood,438,84761
HUSH569702FMKYCX51,S-00012,Diego,Murch,McGrail,1975-12-23,Morelos,Cuernavaca,Cuernavaca,Mandrake,396,19815
INVW803387SEQRIG92,S-00004,Lammond,Todarello,Gatecliffe,1997-09-09,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Loeprich,668,90784
GONG008833CDJURJ05,S-00008,Tannie,Bossons,Schoenleiter,1994-07-02,Oaxaca,El Espinal,El Espinal,Clyde Gallagher,064,04305
ANOT873295XXUYBF86,S-00011,Emmy,Lowery,Matthisson,1987-05-17,Coahuila de Zaragoza,Lamadrid,Lamadrid,Summer Ridge,564,82229
WJUW471208ZVFEPB15,S-00010,Raddie,Gait,Goldston,1989-07-10,Guerrero,Copala,Copala,Annamark,796,47379
SZIP540679BTNJKF16,S-00001,Leonerd,Beinisch,Drinan,1975-10-02,Distrito Federal,N/A,Churubusco,Eagle Crest,761,47996
HAWP110999MOVMIO60,S-00011,Christine,Crafter,Dinsdale,1998-07-21,Coahuila de Zaragoza,Lamadrid,Lamadrid,Tennyson,670,53364
JZUW556511MCHSKK27,S-00011,Charyl,Duester,Deathridge,1982-05-03,Coahuila de Zaragoza,Lamadrid,Lamadrid,East,776,88816
JJOO272367SDOYKU85,S-00015,Wendye,Elloway,Orrow,1981-03-03,Hidalgo,Pachuca de Soto,Pachuca de Soto,Quincy,198,80597
PWUU228804ILFIMK57,S-00010,Syd,Gervaise,Rawson,1987-12-22,Guerrero,Copala,Copala,Vahlen,244,16196
PFPQ964612UCRTQR24,S-00015,Althea,Razoux,Powter,1990-02-27,Hidalgo,Pachuca de Soto,Pachuca de Soto,Utah,524,02201
EWEK349771PKPDOX91,S-00013,Maxine,Trazzi,Lakey,1994-11-22,Campeche,Champoton,Champoton,Sycamore,308,26425
OLFG973854OMLHDG52,S-00015,Meredithe,Cicci,Hellcat,1982-06-02,Hidalgo,Pachuca de Soto,Pachuca de Soto,Fuller,358,74000
LMDY611689YHCCYB86,S-00013,Barbara,Prynne,Dutteridge,1998-01-28,Campeche,Champoton,Champoton,Garrison,210,76046
GAWB693397ZADWUD50,S-00005,Jared,Hallam,Dupoy,1977-04-06,Nuevo Leon,Pesqueria,Pesqueria,Cody,610,47704
YQXW622283LSOBPD91,S-00011,Nixie,Beere,Gratton,1998-05-29,Coahuila de Zaragoza,Lamadrid,Lamadrid,Iowa,743,18514
ANNX051992XFWBZZ47,S-00004,Prissie,Guilleton,Sciusscietto,1971-07-17,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Monica,392,77021
STHA748953JVZSHG48,S-00004,Jackqueline,Day,Iacoviello,1985-06-19,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Milwaukee,520,91565
JTCH896539UNJPAA22,S-00005,Matthew,Tyreman,Dunkley,1979-11-26,Nuevo Leon,Pesqueria,Pesqueria,Elmside,948,86992
IGWD081445ISQDDP72,S-00005,Laurie,Lidgard,Randles,1991-06-04,Nuevo Leon,Pesqueria,Pesqueria,Dunning,010,50526
NNZZ456628AMOFXT73,S-00007,Florri,Grahlmans,Yakebovitch,1978-01-30,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Westport,390,32274
KHNE896305MUDPWV91,S-00005,Tami,Bullar,Gerbel,1974-05-02,Nuevo Leon,Pesqueria,Pesqueria,Summit,505,50585
VOXI148025IAGBOS02,S-00013,Lucille,Hollingdale,Teare,1994-03-10,Campeche,Champoton,Champoton,Novick,856,76037
ZLVQ871631PODLSC76,S-00014,Ezekiel,Jeandon,Bart,1973-02-25,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Eastwood,907,53718
FKFB195336GLNYHR74,S-00004,Jarrid,Badam,Duddell,1979-08-05,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Sunbrook,331,95089
KHTR873639CBHGGQ18,S-00005,Derek,Strodder,Frays,1994-01-06,Nuevo Leon,Pesqueria,Pesqueria,Meadow Valley,008,94443
ZBME431257CYZFCA51,S-00011,Diandra,Klinck,Gulleford,1970-05-23,Coahuila de Zaragoza,Lamadrid,Lamadrid,Corben,659,99256
TIGF760645QBIXGS76,S-00008,Joycelin,Llopis,McHardy,1995-08-25,Oaxaca,El Espinal,El Espinal,Northview,025,66151
BUPP268463NCAZXX02,S-00009,Alena,Augustus,Dechelle,1976-07-28,Chihuahua,Juan Aldama,Juan Aldama,Southridge,380,55323
UYSI694914JHZVCN63,S-00012,Thain,Wharlton,Vesty,1993-08-13,Morelos,Cuernavaca,Cuernavaca,Arizona,750,62227
PCBQ936325RQMRRM56,S-00006,Jasmin,Saull,Patridge,1997-12-31,Baja California,Tijuana,Tijuana,La Follette,812,53308
GJNK507244SUTVDE65,S-00009,Brody,Froome,Tremlett,1980-06-09,Chihuahua,Juan Aldama,Juan Aldama,Kensington,155,82728
XFPJ540199SSRWGO19,S-00011,Andras,Risbrough,Leatham,1988-07-26,Coahuila de Zaragoza,Lamadrid,Lamadrid,Manitowish,970,46223
WKJI599288BINCMO63,S-00005,Trish,Keepin,Roll,1972-10-24,Nuevo Leon,Pesqueria,Pesqueria,Bellgrove,252,10257
JCAZ201956AQOXAJ48,S-00003,Mareah,Le Guin,Vasyatkin,1990-04-23,Queretaro,Peñamiller,Peñamiller,Sunfield,941,25921
ERUJ105529MUHYTI77,S-00011,Ingelbert,Maytom,Elijah,1987-08-08,Coahuila de Zaragoza,Lamadrid,Lamadrid,Bayside,776,03487
GIJN054412GNSNTR97,S-00009,Phaedra,Lorriman,McClunaghan,1985-08-19,Chihuahua,Juan Aldama,Juan Aldama,Mesta,466,38557
BHIN703138DHGIAI69,S-00015,Gabriello,Burren,Boichat,1978-02-15,Hidalgo,Pachuca de Soto,Pachuca de Soto,Center,290,99794
ABOC865539QNNIDK53,S-00010,Tobi,Gravestone,O'Dougherty,1971-01-10,Guerrero,Copala,Copala,Schiller,316,31709
ATCV015904JQOTEU55,S-00001,Netty,Bensusan,Shrive,1998-10-22,Distrito Federal,N/A,Churubusco,Cascade,950,72193
EKVG256654ABFEOI02,S-00010,Sigvard,Merck,Abrey,1988-06-15,Guerrero,Copala,Copala,Ilene,693,30533
EMDS172114KFDFNC82,S-00008,Denice,Topping,Huff,1980-10-29,Oaxaca,El Espinal,El Espinal,Bartillon,270,08566
SXSZ188714UWRFJN92,S-00013,Filmer,Rennels,Hartless,1996-05-14,Campeche,Champoton,Champoton,Leroy,283,89130
WGJK219965OSXXVB51,S-00012,Consuela,Fewell,Chiene,1985-03-08,Morelos,Cuernavaca,Cuernavaca,Ilene,386,43056
GIPO745139GRHVXM85,S-00012,Horatio,Caddan,Shoubridge,1999-07-20,Morelos,Cuernavaca,Cuernavaca,Independence,249,71227
JYHX873879DNEFOF05,S-00012,Torrie,Nono,Gouch,1971-05-08,Morelos,Cuernavaca,Cuernavaca,Steensland,958,00187
DKDB362572BOUQLD72,S-00010,Jemimah,Camden,Seymour,1983-07-05,Guerrero,Copala,Copala,Marquette,595,49833
ZSEA997311XSKZEV70,S-00006,Dodie,Sizland,Growcott,1975-03-16,Baja California,Tijuana,Tijuana,Becker,976,64233
OSZU625820WASONL60,S-00002,Brandie,Ough,Everex,1999-01-17,Aguascalientes,Palo Alto,Palo Alto,Mayer,276,98753
UXFB931767FLSBCG64,S-00015,Gilda,Huscroft,McIlherran,1994-04-05,Hidalgo,Pachuca de Soto,Pachuca de Soto,Kedzie,125,23133
BYFJ505427QDWZSI58,S-00014,Kenneth,Nucator,Ramas,1978-12-05,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Susan,385,32660
SJYE338192CHQIAD11,S-00002,Mendel,Tangye,Dyter,1982-05-16,Aguascalientes,Palo Alto,Palo Alto,Merry,790,79115
WOBK461660TAXYIC45,S-00010,Eda,Pautard,Edwardson,1982-09-12,Guerrero,Copala,Copala,Gerald,926,09478
BQMI270851DMITSX44,S-00013,Ophelie,Callingham,Grendon,1981-01-19,Campeche,Champoton,Champoton,Stephen,658,07101
NVCN030878AMSKFX34,S-00012,Graig,Vasilov,Sturt,1996-04-09,Morelos,Cuernavaca,Cuernavaca,Springview,977,33000
RKEB392274HWDPFW58,S-00002,Kathleen,Drakes,Lafond,1982-08-04,Aguascalientes,Palo Alto,Palo Alto,Coleman,720,29236
IXIO676093ZZTQMO06,S-00001,Florinda,Dohms,Honacker,1998-07-08,Distrito Federal,N/A,Churubusco,Atwood,995,66120
LXZU333261EBPOOY49,S-00011,Linda,Longmaid,Fontel,1998-06-19,Coahuila de Zaragoza,Lamadrid,Lamadrid,Hovde,735,54649
BLPI707287XBVBXW64,S-00004,Germaine,Ferraraccio,Way,1977-06-25,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Myrtle,808,41291
HBZI260535FEUJUS70,S-00004,Alvie,Kevis,Dishmon,1972-05-24,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Mesta,187,61709
PXMP035767ADMIAF27,S-00010,Lida,Dresser,MacGlory,1989-01-01,Guerrero,Copala,Copala,Lakewood Gardens,856,87798
CPPY319506ZVPIAY22,S-00002,Ronnica,Lernihan,Fealy,1972-11-02,Aguascalientes,Palo Alto,Palo Alto,Granby,247,89083
MRJW564060DJKDOV37,S-00010,Hamil,Foulgham,Dunbobbin,1999-02-07,Guerrero,Copala,Copala,Daystar,526,62212
MAOD000747XLSBAS26,S-00001,Kate,Adamik,Wittrington,1975-01-28,Distrito Federal,N/A,Churubusco,Bunker Hill,104,80548
GZQD805032VGWBXT88,S-00014,Dael,Klosa,Paydon,1972-11-06,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Lunder,194,46985
ASZT893642ZPRFMA17,S-00001,Jo-anne,Lovick,Pfaffel,1992-12-18,Distrito Federal,N/A,Churubusco,Myrtle,230,79865
LARK974484DDAOWU99,S-00010,Eyde,Keymar,Cobden,1989-04-03,Guerrero,Copala,Copala,Merchant,731,57423
WUWX979615XDIWYH83,S-00015,Alfie,Le Grove,Chessil,1988-11-18,Hidalgo,Pachuca de Soto,Pachuca de Soto,Harper,709,76039
BOZP809391TBTHJS12,S-00014,Robin,Puller,Tedder,1996-12-16,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Bartelt,056,93176
MGXB966998JDMYAG36,S-00007,Jens,Catenot,Yeldham,1983-05-02,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Oak Valley,660,57354
VRVJ980560GTPGOA59,S-00005,Porty,Horder,Polotti,1973-08-21,Nuevo Leon,Pesqueria,Pesqueria,Mendota,142,16330
NNAS365256TDXRCN42,S-00008,Lanette,Schriren,Bragger,1979-03-12,Oaxaca,El Espinal,El Espinal,Upham,810,38290
KPPG802183RLSFIA21,S-00009,Ellynn,Cottier,Meader,1993-10-21,Chihuahua,Juan Aldama,Juan Aldama,Monument,278,58915
NFCC676732OGSBSU89,S-00008,Chaddie,Hakeworth,McFadden,1991-04-20,Oaxaca,El Espinal,El Espinal,Gulseth,034,73453
BTHE663573WHCHOU34,S-00003,Tybie,Carverhill,Brightling,1992-10-19,Queretaro,Peñamiller,Peñamiller,Del Mar,116,25553
OMOF396999WLMDLL51,S-00010,Philip,Dongate,Cheesworth,1972-01-12,Guerrero,Copala,Copala,Alpine,982,84332
NJCN089719BTYSQT39,S-00007,Ira,Keenleyside,Blankhorn,1987-05-05,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Glendale,258,53949
JGCK923328FVOTTE44,S-00011,Gregg,MacRanald,Zylbermann,1971-04-03,Coahuila de Zaragoza,Lamadrid,Lamadrid,Fairview,399,73080
MKEA062874AJECHX26,S-00015,Helenka,Hynes,Bellefonte,1999-01-13,Hidalgo,Pachuca de Soto,Pachuca de Soto,Mandrake,723,67153
DAYO259613LAEFWV27,S-00001,Harwell,Spikeings,Whannel,1996-04-28,Distrito Federal,N/A,Churubusco,Waxwing,458,86178
CIOZ405534NKFSKD66,S-00002,Willa,Richardet,Woodes,1976-10-09,Aguascalientes,Palo Alto,Palo Alto,Ridgeway,328,07665
USEH920513QRAZGU83,S-00001,Mufinella,Laughnan,Boylan,1986-05-17,Distrito Federal,N/A,Churubusco,Vidon,758,56342
WOYY629282ZJAICF04,S-00004,Anselm,Soot,Burr,1974-09-29,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Bunker Hill,116,84433
ZBUY270513UPMTON30,S-00011,Ulrick,Alishoner,Waind,1975-07-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,Buell,742,48561
CLOS674044EVTHJO23,S-00014,Cory,Witsey,Stiger,1982-10-07,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Di Loreto,721,31280
LKOD325928KYKEBT28,S-00013,Bobbi,Bodell,Jerdon,1997-06-19,Campeche,Champoton,Champoton,Linden,735,52764
LHTG398583DYGWWR86,S-00010,Marlin,Presley,Sizeland,1981-04-15,Guerrero,Copala,Copala,Lighthouse Bay,421,42429
UTLB397070CNOHNF87,S-00006,Kalvin,Accombe,Bovis,1986-03-11,Baja California,Tijuana,Tijuana,Mayer,506,80829
OCXY901955DYGNNM72,S-00008,Patrizia,Rains,Jackman,1984-07-21,Oaxaca,El Espinal,El Espinal,Everett,090,55493
SLQQ993514XBNDWT68,S-00012,Dani,Oliveto,Blackborne,1977-06-17,Morelos,Cuernavaca,Cuernavaca,Warrior,623,69578
MPCB275027XRTOBA96,S-00005,Lotte,Dedon,Danielski,1986-04-25,Nuevo Leon,Pesqueria,Pesqueria,Old Gate,363,67661
SKBC599985BBQHUB03,S-00002,Emmet,Warbys,Chason,1972-04-25,Aguascalientes,Palo Alto,Palo Alto,Onsgard,976,09510
ESAB710784DMUIAR60,S-00007,Claudianus,Sopper,Cough,1980-06-15,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Talisman,339,24067
WHWA714618GAAGOG20,S-00004,Priscilla,Marquess,Dansie,1988-10-28,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,John Wall,790,73804
DYSG458607DOBRWY89,S-00001,Gayle,Schuster,Burnhill,1980-08-02,Distrito Federal,N/A,Churubusco,Vahlen,501,03391
JQRQ143743RRKZOJ64,S-00008,Dalila,Hedan,MacDermot,1974-07-19,Oaxaca,El Espinal,El Espinal,Corben,546,16722
VQVZ054164LTWUXT84,S-00011,Norah,Fawckner,Scoular,1982-06-24,Coahuila de Zaragoza,Lamadrid,Lamadrid,Miller,738,40360
AZPS114627IKZNRF19,S-00009,Alon,Dietz,Birkhead,2000-03-14,Chihuahua,Juan Aldama,Juan Aldama,Melvin,566,35890
KQFY270833WDOITR09,S-00012,Sherilyn,Karpinski,Laffin,1986-09-23,Morelos,Cuernavaca,Cuernavaca,Hagan,038,11689
YOQC847464NZKXVP11,S-00006,Keri,Feasley,Mager,1985-06-19,Baja California,Tijuana,Tijuana,Maywood,380,40283
JVAO254041WFBACB41,S-00010,Kane,Colbourn,Bains,1984-06-29,Guerrero,Copala,Copala,Old Shore,717,75754
MBGP602966CNFOYT79,S-00006,Alicia,Reynoldson,Parkinson,1994-02-19,Baja California,Tijuana,Tijuana,Pankratz,736,52861
DYZU332759THNTKA77,S-00008,Mercedes,Hovington,Van der Velde,1992-03-02,Oaxaca,El Espinal,El Espinal,Steensland,750,30975
PFGA791900UWJMFS62,S-00010,Rosaline,Hinckley,Hatherley,1981-05-13,Guerrero,Copala,Copala,Northwestern,961,39230
TGMV270031ELQZXG48,S-00012,Barbra,Fosbraey,Spurrier,1991-02-21,Morelos,Cuernavaca,Cuernavaca,Alpine,181,05917
NTRC518522MNVJGB05,S-00014,Leila,Congram,Dockrey,1985-08-21,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Kim,831,52739
QJLI531482DIUWTD19,S-00015,Faulkner,Semonin,Navein,1987-10-10,Hidalgo,Pachuca de Soto,Pachuca de Soto,Transport,906,01027
ZFEW695347XWHCVT69,S-00008,Dorine,Pine,Grasser,1978-11-04,Oaxaca,El Espinal,El Espinal,Norway Maple,356,55653
HULV757979UBACJJ42,S-00012,Lisabeth,Blue,Ales,1984-06-01,Morelos,Cuernavaca,Cuernavaca,Independence,116,64524
DIER090601TCETSE51,S-00014,Nelle,Risborough,Eykelhof,1979-02-01,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Oneill,499,66307
JFBH913298DMEWJW13,S-00004,Essie,Rosario,Ollington,1987-09-05,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Hazelcrest,722,55215
QGHG253489YWSKSY33,S-00003,Deeann,Riseborough,Seneschal,1987-10-02,Queretaro,Peñamiller,Peñamiller,Maryland,421,40899
LPWZ960997SFJQCI99,S-00006,Fanechka,Hockell,Blance,1972-01-20,Baja California,Tijuana,Tijuana,Raven,898,68268
BHQP688580ZLFDQQ39,S-00003,Lucas,Creebo,Crookston,1994-10-14,Queretaro,Peñamiller,Peñamiller,Troy,453,46307
VLWY598502WFQNUW92,S-00006,Boothe,Davidovsky,Shafto,1971-11-05,Baja California,Tijuana,Tijuana,Westport,517,23331
JCIX460943QWECLU53,S-00014,Edgardo,Hessel,Naismith,1990-07-08,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Morning,805,94052
NKEW659906PMUBEB75,S-00006,Sissie,Coetzee,Brosh,1990-05-14,Baja California,Tijuana,Tijuana,Talisman,344,47064
XOBF897217RMKDLM55,S-00002,Iolande,Petriello,Jeanon,1995-02-23,Aguascalientes,Palo Alto,Palo Alto,Gale,360,26052
TBGC479890TIJQXF21,S-00013,Janie,Ikringill,Tolson,1982-07-04,Campeche,Champoton,Champoton,Loeprich,231,86723
BWWS369041PNZHDT93,S-00005,Emili,Coggan,Baldack,1987-12-17,Nuevo Leon,Pesqueria,Pesqueria,Eagle Crest,269,79666
VIPR770582CDJPBO59,S-00013,Sibel,Puddefoot,Lawford,1995-07-23,Campeche,Champoton,Champoton,Bay,834,51302
NLOI722499NAXAZC78,S-00004,Ephraim,Vouls,Molan,1979-02-04,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,North,739,85498
SSVV464223SWMPIF63,S-00012,Tore,Bellamy,Polsin,1988-10-09,Morelos,Cuernavaca,Cuernavaca,Forest Dale,523,41073
ZZZY082256FQLLPP60,S-00010,Jehu,Borlease,Keyhoe,1992-05-21,Guerrero,Copala,Copala,Southridge,927,07375
BGSL425813ZYEZPM98,S-00007,Hank,Redgate,Yearne,1982-10-26,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Cardinal,639,48334
FMMP352082LNSYKV97,S-00003,Johnnie,Romaines,Lodge,1979-01-23,Queretaro,Peñamiller,Peñamiller,Magdeline,040,91853
NZVZ083762LUYVJY67,S-00001,Kliment,Blanking,Lorans,1988-01-03,Distrito Federal,N/A,Churubusco,Paget,490,53766
GRNP069975ASQCES48,S-00009,Ginevra,Delf,Broune,1974-10-18,Chihuahua,Juan Aldama,Juan Aldama,Charing Cross,483,06835
AFYF487067SNHJWP16,S-00015,Jo,Shorbrook,Raoult,1985-08-17,Hidalgo,Pachuca de Soto,Pachuca de Soto,Debs,726,99487
TDFU216288PTSWGD50,S-00015,Francoise,Mohammad,Kenward,1997-03-14,Hidalgo,Pachuca de Soto,Pachuca de Soto,Anhalt,416,02277
YAAY839248JKZKSF70,S-00007,Ambur,Starkey,Emmitt,1984-01-23,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Dottie,552,88614
GSMH612878XYTXZP39,S-00007,Giustina,Wade,Morilla,1992-03-02,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Sheridan,558,74488
PZUA680652KRXILF24,S-00014,Minni,Orrobin,Woolley,1971-08-05,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Fairview,336,36696
ASKG110925DZFEVP05,S-00003,Reese,Matthai,Kynder,1983-09-16,Queretaro,Peñamiller,Peñamiller,Sutteridge,937,85810
UMDV623891WZLYON02,S-00008,Quinta,Farthin,Eick,1975-09-01,Oaxaca,El Espinal,El Espinal,Sutteridge,037,68041
IAKC177919ZCTVLZ26,S-00011,Calla,Gogay,Leipold,1977-07-06,Coahuila de Zaragoza,Lamadrid,Lamadrid,Burning Wood,168,40876
UNPN906577NPAUJZ11,S-00006,Wynne,Vaudin,Dann,1982-03-22,Baja California,Tijuana,Tijuana,Charing Cross,025,66604
CEII883853GRPCDL69,S-00008,Saba,Cornils,Quartermaine,1980-10-12,Oaxaca,El Espinal,El Espinal,Continental,774,67520
ARVC545220SVCBWU95,S-00004,Kendricks,Treswell,Rawle,1972-01-17,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Melody,996,17369
IHPD467750DWPXDH17,S-00007,Annabal,Emmens,Scatchar,1985-10-21,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Mccormick,836,32502
VQOY802295XBLXCK74,S-00001,Sophi,Bartoshevich,Brawley,1973-10-06,Distrito Federal,N/A,Churubusco,La Follette,089,40924
JZJZ932188UEPETD01,S-00002,Margarette,Caines,Weatherburn,1970-07-31,Aguascalientes,Palo Alto,Palo Alto,Clarendon,979,84578
SPKN567864FNHUVP01,S-00008,Wendall,Sheaf,Glover,1993-05-03,Oaxaca,El Espinal,El Espinal,Dottie,763,11573
PWRU529839EDHVPY25,S-00010,Keefer,Noice,Vinick,1990-08-23,Guerrero,Copala,Copala,Superior,633,03515
HLDY851252JHRLLQ62,S-00009,Gabi,Feldstern,Rosenstock,1982-02-16,Chihuahua,Juan Aldama,Juan Aldama,Katie,600,18844
CNKA152283QOAOKZ19,S-00006,Yuri,Carpmile,Le Fevre,1977-11-28,Baja California,Tijuana,Tijuana,Anzinger,884,35315
QLIV251751IRDCKN84,S-00010,Lotte,Dutton,Le Conte,1992-06-21,Guerrero,Copala,Copala,West,253,88958
HVNJ143648OEZFMB73,S-00003,Tamra,Horney,Ismirnioglou,1983-10-22,Queretaro,Peñamiller,Peñamiller,Sauthoff,864,32728
CMMA543677XKYMRK58,S-00005,Mill,Gelletly,Setchell,1993-12-02,Nuevo Leon,Pesqueria,Pesqueria,Oak Valley,297,26769
QZSE522374VLRBSV78,S-00010,Barbabas,Hender,Tipton,1972-11-30,Guerrero,Copala,Copala,Kropf,333,92222
JEVB688622JFVATM55,S-00015,Melonie,Totman,Marner,1994-04-12,Hidalgo,Pachuca de Soto,Pachuca de Soto,Transport,456,09043
AAET984043WAYVEP73,S-00007,Lin,Diggle,Dyshart,1980-01-10,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Starling,354,81910
BCOJ626646XZRSWT98,S-00015,Chryste,Peagram,Taggart,1976-04-26,Hidalgo,Pachuca de Soto,Pachuca de Soto,Ilene,141,70269
GPQW137200KQQIDO80,S-00001,Dorene,Steynor,Bownd,1998-04-30,Distrito Federal,N/A,Churubusco,Autumn Leaf,210,42349
SCNF140141RKLEOF19,S-00006,Lauren,Jenicek,Melby,1984-04-27,Baja California,Tijuana,Tijuana,Blue Bill Park,352,22587
IQHK554384OSJKVI25,S-00004,Brody,Bastard,La Vigne,1985-08-09,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Bowman,957,90176
EHUX052418JGDJST78,S-00010,Gay,Albinson,Justun,1993-08-12,Guerrero,Copala,Copala,Green,914,49922
CIUA728070WUOIFP29,S-00013,Basile,Costar,Varnham,1992-11-09,Campeche,Champoton,Champoton,Kingsford,147,61927
PRGW150010KQPLWQ70,S-00004,Dianna,Gillet,O' Shea,1978-11-30,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Huxley,346,97851
GCJK103882UNUAXQ74,S-00013,Merissa,Friary,Wildsmith,1975-07-07,Campeche,Champoton,Champoton,Victoria,466,52928
AWMG616101EWODLS63,S-00008,Darwin,Niesel,Claibourn,1997-08-15,Oaxaca,El Espinal,El Espinal,Fair Oaks,576,25439
UBGV885923DXSBHT85,S-00006,Mikel,Ebbs,Yanuk,1987-04-07,Baja California,Tijuana,Tijuana,Magdeline,059,42552
YSMG217086UNMVFH30,S-00010,Marietta,Egginton,Yurikov,1999-10-13,Guerrero,Copala,Copala,Bobwhite,505,12645
FPHS133936IZMUAV57,S-00012,Sacha,Meneghi,Shutte,1978-06-07,Morelos,Cuernavaca,Cuernavaca,Buena Vista,146,08486
THAQ497644AEIIOH52,S-00001,Paige,Budnik,Harland,1990-08-05,Distrito Federal,N/A,Churubusco,Farmco,628,58494
JMJI841171BACAPM15,S-00001,Merrill,Daftor,Jacobsohn,1972-01-17,Distrito Federal,N/A,Churubusco,Bluejay,789,18709
CJXM240961SVZNTU24,S-00008,Avivah,Stelfox,Coakley,1999-06-25,Oaxaca,El Espinal,El Espinal,Division,485,69769
MDXC587328FFXJHL33,S-00013,Oliver,Deshorts,Goom,1977-03-24,Campeche,Champoton,Champoton,Menomonie,085,35004
CGMB520088LXASXB07,S-00014,Jolynn,Severwright,Hoolaghan,1982-02-15,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Hermina,498,94673
NLMQ106660FOJEFU76,S-00014,Maurita,Newtown,Husk,1985-01-03,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Badeau,180,92677
CEGY468519IPSLKS14,S-00004,Buiron,Jambrozek,Dunstan,1996-11-21,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Goodland,382,78365
VPVV731711PQFVRG27,S-00006,Marlowe,Storah,Penson,1976-12-24,Baja California,Tijuana,Tijuana,Russell,073,95139
GPBA874504GBTNYP09,S-00010,Giovanna,Stallibrass,Mattei,1996-01-13,Guerrero,Copala,Copala,Lake View,072,68564
UWHS203234HSLQNC19,S-00013,Nancie,Ferrieri,Blackster,1993-08-21,Campeche,Champoton,Champoton,Oriole,162,11278
MDGZ696927KBZUVN73,S-00005,Rhodie,Matyashev,McPhail,1971-01-15,Nuevo Leon,Pesqueria,Pesqueria,Arizona,227,29674
PMSH042858ASAAZW45,S-00007,Myrwyn,Huot,Pierse,1984-10-28,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Pearson,003,61728
PXEN641954NADQME16,S-00007,Culley,Ritchley,Mertgen,1978-05-29,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Walton,975,57226
WNGV300907FJWEVV55,S-00014,Cornelius,Berrick,Kirsch,1983-01-10,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Fair Oaks,138,47012
SHMD978512TEKGCW99,S-00009,Madge,Broxton,McGettrick,1986-02-06,Chihuahua,Juan Aldama,Juan Aldama,Autumn Leaf,420,61735
